month,year,HH_A,HH_B,HH_F,HH_E,HH_D,HH_C,LL_C,LL_B,LL_D,LL_A
lat,na,51.1128,51.089,59.0774,59.3628,55.844,55.6063,57.0803,52.8483,57.5558,51.4218
lon,na,-5.89049,-11.6441,-12.3336,-6.62752,-13.5937,-8.10159,-14.5684,-13.8076,-7.2219,-10.0987
jun,82,0.225327833,0.614324167,-0.235719,-0.791346167,0.600491667,0.503255833,0.029384833,0.248069667,0.616066333,-0.241625333
jul,82,0.159682667,0.694109167,-0.030020167,-0.515271,0.610437833,0.779923167,0.283094333,0.529468333,0.705904333,0.0666545
aug,82,0.162184667,0.654593,0.054799333,-0.364005,0.5866955,0.852978,0.412376167,0.669927333,0.703404333,0.102750833
sep,82,-0.007394167,0.449159333,0.011200833,-0.2500145,0.460675667,0.701203833,0.381377833,0.762509667,0.641356,0.056906667
oct,82,-0.124602167,0.339872667,-0.051105667,-0.141528833,0.369182833,0.5742845,0.218162833,0.6160455,0.4621265,-0.216342167
nov,82,-0.092638,0.181333333,-0.195838667,-0.028734833,0.251043,0.518829167,0.102465667,0.599909333,0.392502833,-0.38062
dec,82,-0.076432,0.039790333,-0.382095,-0.228914,0.1153565,0.173308833,-0.130244,0.3524685,0.244886333,-0.640982
jan,83,-0.027184833,-0.127252667,-0.659998167,-0.387247333,-0.076847833,-0.115670333,-0.439222333,0.209994667,0.084940833,-0.865014333
feb,83,0.025670333,-0.085772167,-0.753746167,-0.53393,-0.141498333,-0.311403833,-0.6644565,0.0453095,-0.026547333,-1.021705167
mar,83,0.146593333,0.049392833,-0.748911167,-0.659372167,-0.117790333,-0.205489833,-0.652006667,-0.169154667,0.022329,-1.146506833
apr,83,0.228134667,0.071901833,-0.7564935,-0.860802333,-0.137130833,-0.222459333,-0.678847167,-0.230912667,0.0506695,-1.1233135
may,83,0.228858667,0.067806833,-0.688857333,-1.051015167,-0.135388833,-0.234100833,-0.6700855,-0.3479485,-0.033255167,-1.188927333
jun,83,0.100208167,0.057183167,-0.7426005,-1.087224833,-0.278591333,-0.149414333,-0.685431333,-0.312007667,0.009250167,-1.089954167
jul,83,-0.106566333,0.028796,-0.670396167,-1.073999,-0.263860167,0.070908167,-0.484409833,0.113261167,0.222422333,-0.712856667
aug,83,-0.296357,-0.132254333,-0.629712667,-0.985058167,-0.1453925,0.416212,-0.110305333,0.54972,0.588857167,-0.107348333
sep,83,-0.344502167,-0.327197,-0.608603333,-0.8546715,-0.1262115,0.3848535,-0.160144,0.546795333,0.520314167,-0.070825
oct,83,-0.408409,-0.433362,-0.590859667,-0.694101667,-0.044398,0.407683167,-0.1137875,0.665542667,0.614446833,-0.013266667
nov,83,-0.450299667,-0.4162115,-0.612940333,-0.536277833,-0.035362167,0.424158,-0.0339935,0.777634,0.820927,0.124347167
dec,83,-0.330305,-0.300964167,-0.449519667,-0.390498333,0.207410333,0.436622167,0.075438333,0.795617833,0.978852,0.170642833
jan,84,-0.252885333,-0.284566333,-0.441509,-0.381251,0.286442667,0.314848,-0.054723,0.427338167,0.836593833,-0.193228833
feb,84,-0.160050667,-0.174101,-0.583309167,-0.4656835,0.142199167,-0.053891833,-0.382862833,0.0237365,0.5250955,-0.631219333
mar,84,-0.092335667,-0.037868,-0.557859333,-0.579941833,0.152211667,0.0070365,-0.344207,0.063166667,0.573047167,-0.5653765
apr,84,-0.004373333,0.140574667,-0.542214167,-0.673011667,0.162787,0.134595667,-0.303174667,0.056586,0.634359,-0.5231015
may,84,0.067463667,0.3038005,-0.398950667,-0.707341333,0.321815667,0.332960167,-0.1616245,0.034118333,0.6828785,-0.437329
jun,84,-0.0055865,0.293997667,-0.450094167,-0.7717875,0.171709833,0.408384833,-0.159000833,0.0771345,0.495509,-0.529124667
jul,84,0.123876,0.444105167,-0.357567333,-0.660766,0.163860333,0.552579,-0.045775,0.282349167,0.607337167,-0.309286
aug,84,0.252761667,0.5550915,-0.057111167,-0.444344333,0.371167833,0.911802167,0.138602167,0.689339167,0.726147167,-0.158285
sep,84,0.279157833,0.541914,0.078550167,-0.299086,0.538599167,0.9860405,0.425113,0.902631167,0.905862167,-0.045738333
oct,84,0.207862167,0.459546667,0.074302833,-0.209725833,0.525120667,0.886545833,0.506715167,0.954910667,0.849442833,-0.065539333
nov,84,0.163803,0.306543,-0.077682833,-0.205896167,0.393703,0.631070333,0.269165,1.0096005,0.6950345,-0.208367333
dec,84,0.2151865,0.262636167,-0.093152333,-0.171019833,0.4677335,0.486613333,0.195466,0.9138425,0.715091833,-0.233668333
jan,85,0.2044875,0.176023333,-0.210034,-0.280482167,0.463325,0.2466665,0.019390833,0.575348333,0.506382,-0.533130333
feb,85,0.102796,-0.002354167,-0.448183,-0.516708833,0.25596,-0.168465833,-0.182974833,0.148358333,0.372338,-0.785161833
mar,85,0.095378333,0.089586667,-0.597769,-0.707988833,0.121808167,-0.320876167,-0.463195333,-0.058535833,0.1649885,-0.896902
apr,85,0.1922295,0.137565167,-0.5434105,-0.852127333,0.111953333,-0.344214833,-0.544353,-0.118482,0.140907833,-0.811934333
may,85,0.192794,0.1754075,-0.468467833,-0.991977833,0.1436935,-0.354008833,-0.464007167,-0.154569833,0.108327167,-0.711418167
jun,85,0.1714105,0.215758667,-0.469498333,-1.068632,0.1056075,-0.317163,-0.4186415,-0.171811833,0.060881,-0.734839333
jul,85,0.118776167,0.280006,-0.4285305,-1.038847167,0.012435333,-0.234044667,-0.375953333,-0.059661333,0.044590667,-0.692527833
aug,85,0.084715,0.332523167,-0.374790167,-0.945738667,-0.0405755,-0.166976667,-0.469825,-0.214178,-0.176150333,-0.952216833
sep,85,-0.143923,0.174971167,-0.454204167,-0.8277365,-0.2157565,-0.190121833,-0.572771167,-0.2854505,-0.333800833,-1.132087833
oct,85,-0.286258,0.1252185,-0.490283,-0.638759167,-0.278912333,-0.112535833,-0.571559667,-0.2106655,-0.291978333,-1.1088835
nov,85,-0.350155833,0.048320667,-0.578336833,-0.512130833,-0.362819167,-0.093241833,-0.640127833,-0.238244333,-0.221564333,-1.100566333
dec,85,-0.395224,-0.038052,-0.606983667,-0.5389175,-0.404733167,-0.140625333,-0.687375167,-0.230841167,-0.1308385,-1.0034355
jan,86,-0.369740167,-0.114557333,-0.699456833,-0.662734833,-0.309034167,-0.2490125,-0.720869833,-0.266970167,-0.046591167,-0.974833333
feb,86,-0.363417167,-0.138562667,-0.809625833,-0.818343333,-0.272035167,-0.334652,-0.651045833,-0.191441667,0.091114,-0.747881667
mar,86,-0.175048,0.007430167,-0.781932333,-0.9804855,-0.146961667,-0.383818667,-0.598691,-0.300707167,0.1598935,-0.67172
apr,86,-0.1082685,0.036294,-0.835409167,-1.221796167,-0.141917,-0.586404667,-0.7049025,-0.600158833,0.0216265,-0.909424333
may,86,-0.1018975,0.061202667,-0.8989675,-1.3775645,-0.1752145,-0.697687833,-0.800581333,-0.789086,-0.194647667,-1.147634333
jun,86,-0.118829333,0.056075333,-0.943321167,-1.424333333,-0.194078333,-0.735693167,-0.841222833,-0.812544667,-0.399206833,-1.298543
jul,86,-0.143399333,0.119516167,-0.886762,-1.34143,-0.244347167,-0.6721985,-0.790685167,-0.7450715,-0.50168,-1.298274167
aug,86,-0.186227667,0.078360333,-0.833044667,-1.296628333,-0.328819167,-0.637204167,-0.882014167,-0.879255,-0.7350835,-1.583235833
sep,86,-0.284485667,-0.074465833,-0.829738167,-1.283096667,-0.386892667,-0.6325375,-0.927869,-0.873045,-0.824585167,-1.560175833
oct,86,-0.3059965,-0.1565555,-0.7769065,-1.170442,-0.3853245,-0.5333385,-0.8432705,-0.726120333,-0.792716,-1.411718833
nov,86,-0.293312,-0.179075333,-0.7746265,-1.092840333,-0.398471333,-0.477722,-0.8105355,-0.603582,-0.700164,-1.325453833
dec,86,-0.308907,-0.177227667,-0.8229065,-1.067361833,-0.42993,-0.525469333,-0.844195,-0.602865167,-0.588776833,-1.227556
jan,87,-0.337347833,-0.239485667,-0.878336667,-1.152685167,-0.454446167,-0.670254333,-0.976828667,-0.785876,-0.603131667,-1.282986833
feb,87,-0.311245667,-0.104520333,-0.928423,-1.1528435,-0.388724167,-0.624474833,-0.924190167,-0.657525833,-0.322466167,-1.0677885
mar,87,-0.245783333,0.064865,-0.972966,-1.136590167,-0.341941,-0.560163,-0.883657833,-0.503251667,-0.188287,-1.046655167
apr,87,-0.213105833,0.194065667,-1.009631,-1.153078167,-0.297120167,-0.553250833,-0.921312,-0.355565167,-0.188156167,-1.075667667
may,87,-0.220736667,0.251155333,-0.964976333,-1.160841667,-0.261446333,-0.489351167,-0.840337667,-0.276006,-0.129794167,-1.000265667
jun,87,-0.198475,0.239307667,-0.796584667,-1.176320167,-0.153321,-0.373881667,-0.708789333,-0.258834,-0.180348,-1.036052333
jul,87,-0.122561,0.276243,-0.6638965,-1.022932333,-0.109181167,-0.205333333,-0.489757833,0.056381333,-0.0502405,-0.8808365
aug,87,-0.041243833,0.208965833,-0.384240167,-0.952289833,0.061225833,-0.071274167,-0.195191667,0.370181167,0.101458833,-0.712433333
sep,87,-0.052206167,0.099191667,-0.305141667,-0.850654833,0.088387167,0.0053585,-0.0651685,0.578518167,0.256724,-0.590621667
oct,87,-0.143055667,-0.0037725,-0.398422167,-0.773306667,0.035501833,-0.013059167,-0.079611167,0.4527135,0.295786833,-0.593921167
nov,87,-0.149147,0.002415667,-0.448410167,-0.653821,0.079272333,-0.03007,-0.150642167,0.4517655,0.3065915,-0.598044833
dec,87,-0.0716775,0.092973,-0.549813333,-0.536460833,0.127759833,-0.091561,-0.203749667,0.368625667,0.426553833,-0.586236667
jan,88,-0.092268833,0.168457,-0.724974167,-0.592482333,0.085609333,-0.175862,-0.395093833,0.144431833,0.3691345,-0.684677667
feb,88,-0.156258333,0.2017235,-1.000864167,-0.658969833,-0.064576,-0.3139155,-0.690255167,-0.0145465,0.221833833,-0.698687667
mar,88,-0.095134667,0.259132167,-1.024801333,-0.691249833,-0.072973833,-0.417483667,-0.806084833,-0.1451415,0.1159235,-0.672058667
apr,88,0.058659333,0.311596333,-0.9101875,-0.675764167,-0.004144167,-0.317788333,-0.7049755,-0.043336833,0.150916333,-0.539425833
may,88,0.135772167,0.306806,-0.784393,-0.677507833,0.020364833,-0.216906667,-0.607654167,0.043363833,0.129574,-0.496269833
jun,88,0.147747,0.370637667,-0.632934333,-0.635534667,-0.099344833,-0.013582333,-0.479768833,0.271948667,0.171445,-0.243967
jul,88,0.107693167,0.234938667,-0.539762667,-0.5644055,-0.1417105,0.077439167,-0.5464895,0.217271333,-0.013286167,-0.416116833
aug,88,0.113887,0.1943065,-0.483281333,-0.44609,-0.188675667,0.10017,-0.625252833,0.097970333,-0.245985333,-0.69587
sep,88,0.0459855,0.125009,-0.515399667,-0.372698833,-0.2764445,0.0801825,-0.693700333,0.007232,-0.455797167,-1.023554
oct,88,-0.10926,0.047813667,-0.558025,-0.4063565,-0.348069833,-0.013007333,-0.8401325,-0.085002833,-0.578532,-1.2922085
nov,88,-0.115761667,0.026104,-0.544485667,-0.411168333,-0.302134333,-0.0669445,-0.85012,-0.186259167,-0.497912,-1.299309
dec,88,-0.084994667,-0.0065985,-0.583793833,-0.389593,-0.161295667,-0.182526833,-0.917897833,-0.271349333,-0.455643167,-1.4496225
jan,89,-0.005532333,0.148509,-0.531966,-0.308410333,-0.0236075,-0.127741833,-0.733919,-0.101026833,-0.15274,-1.137795167
feb,89,0.0217795,0.302854,-0.465547,-0.181238667,0.040219333,0.089652667,-0.520215167,0.1835725,0.1843105,-0.687494
mar,89,0.056132667,0.462312667,-0.451332,-0.182909,0.170783833,0.2648015,-0.400584833,0.4082355,0.412133,-0.334648667
apr,89,0.189933667,0.582730333,-0.437484333,-0.180751333,0.2437425,0.353547,-0.251763667,0.5636925,0.5340345,-0.0312165
may,89,0.1784785,0.624870167,-0.5042495,-0.211907167,0.164688667,0.430978833,-0.164679333,0.801883667,0.501317667,0.148357
jun,89,0.101322667,0.5449615,-0.562996833,-0.314260333,0.070516667,0.548561167,-0.0732905,0.975473833,0.525382167,0.394948333
jul,89,-0.017602,0.387649667,-0.554287167,-0.406572167,0.037721,0.601410667,0.1050965,1.262624167,0.672102833,0.676131
aug,89,-0.167118167,0.1144875,-0.615437333,-0.533475,-0.013794,0.510629167,0.2102635,1.414045833,0.771504,0.601421
sep,89,-0.3856385,-0.094026833,-0.663540667,-0.453860333,-0.098691833,0.480424833,0.232910333,1.455493833,0.874737,0.6145195
oct,89,-0.490461,-0.163476667,-0.670829333,-0.306555667,-0.099553833,0.488023333,0.230164833,1.48751,0.980254833,0.662593
